"yearid","name","w","attendance"
1963,"Los Angeles Angels",70,837484
1963,"Detroit Tigers",79,818762
1963,"Baltimore Orioles",86,801749
1963,"Pittsburgh Pirates",74,783735
1963,"Milwaukee Braves",84,779552
1963,"Kansas City Athletics",73,751929
1963,"Houston Colt .45's",66,719502
1963,"Cleveland Indians",79,639361
1963,"Washington Senators",56,543631
1962,"Los Angeles Dodgers",102,2782526
1962,"New York Yankees",96,1606325
1962,"San Francisco Giants",103,1590136
1962,"Minnesota Twins",91,1435640
1962,"Detroit Tigers",85,1207581
1962,"Los Angeles Angels",86,1135590
1962,"Chicago White Sox",85,1131562
1962,"Pittsburgh Pirates",93,1071614
1962,"Cincinnati Reds",98,981890
1962,"St. Louis Cardinals",84,938516
1962,"New York Mets",40,925807
1962,"Houston Colt .45's",64,922106
1962,"Baltimore Orioles",77,795590
1962,"Philadelphia Phillies",81,762169
1962,"Milwaukee Braves",86,760053
1962,"Cleveland Indians",80,753256
1962,"Washington Senators",60,729741
1962,"Boston Red Sox",76,723710
1962,"Kansas City Athletics",72,635224
1962,"Chicago Cubs",59,593068
1961,"Los Angeles Dodgers",89,1804865
1961,"New York Yankees",109,1747726
1961,"Detroit Tigers",101,1597608
1961,"San Francisco Giants",85,1391251
1961,"Minnesota Twins",70,1256722
1961,"Pittsburgh Pirates",75,1199198
1961,"Chicago White Sox",86,1162030
1961,"Cincinnati Reds",93,1123147
1961,"Milwaukee Braves",83,1101351
1961,"Baltimore Orioles",95,960819
1961,"St. Louis Cardinals",80,856025
1961,"Boston Red Sox",76,850846
1961,"Cleveland Indians",78,736120
1961,"Kansas City Athletics",61,680382
1961,"Chicago Cubs",64,673006
1961,"Los Angeles Angels",70,604422
1961,"Washington Senators",61,597597
1961,"Philadelphia Phillies",47,589994
1960,"Los Angeles Dodgers",82,2268988
1960,"San Francisco Giants",79,1796356
1960,"Pittsburgh Pirates",95,1707089
1960,"New York Yankees",97,1669568
1960,"Chicago White Sox",87,1644460
1960,"Milwaukee Braves",88,1498859
1960,"Baltimore Orioles",89,1187815
1960,"Detroit Tigers",71,1151336
1960,"Boston Red Sox",65,1129765
1960,"St. Louis Cardinals",86,1096272
1960,"Cleveland Indians",76,973778
1960,"Philadelphia Phillies",59,861634
1960,"Chicago Cubs",60,810675
1960,"Kansas City Athletics",58,776734
1960,"Washington Senators",73,743481
1960,"Cincinnati Reds",67,665345
1959,"Los Angeles Dodgers",88,2083524
1959,"Milwaukee Braves",86,1739724
1959,"New York Yankees",79,1661402
1959,"Cleveland Indians",89,1499139
1959,"Chicago White Sox",94,1422862
1959,"San Francisco Giants",83,1421630
1959,"Pittsburgh Pirates",78,1378865
1959,"Detroit Tigers",76,1223245
1959,"Boston Red Sox",75,990103
1959,"Kansas City Athletics",66,968724
1959,"St. Louis Cardinals",71,929953
1959,"Baltimore Orioles",74,892196
1959,"Chicago Cubs",74,829414
1959,"Cincinnati Redlegs",74,801299
1959,"Philadelphia Phillies",64,799815
1959,"Washington Senators",63,615890
1958,"Milwaukee Braves",92,1952803
1958,"Los Angeles Dodgers",71,1804218
1958,"New York Yankees",92,1396281
1958,"Pittsburgh Pirates",84,1289176
1958,"San Francisco Giants",80,1272857
1958,"Boston Red Sox",79,1113379
1958,"St. Louis Cardinals",72,1101668
1958,"Detroit Tigers",77,1086484
1958,"Chicago Cubs",72,993992
1958,"Philadelphia Phillies",69,931510
1958,"Kansas City Athletics",73,899937
1958,"Baltimore Orioles",74,825765
1958,"Chicago White Sox",82,797566
1958,"Cincinnati Redlegs",76,778052
1958,"Cleveland Indians",77,663765
1958,"Washington Senators",61,495852
1957,"Milwaukee Braves",95,2215041
1957,"New York Yankees",98,1502882
1957,"Detroit Tigers",78,1272386
1957,"St. Louis Cardinals",87,1183205
1957,"Boston Red Sox",82,1181184
1957,"Philadelphia Phillies",77,1147640
1957,"Chicago White Sox",90,1128219
1957,"Cincinnati Redlegs",80,1070830
1957,"Baltimore Orioles",76,1029581
1957,"Brooklyn Dodgers",84,922438
1957,"Kansas City Athletics",59,900130
1957,"Pittsburgh Pirates",62,850732
1957,"Chicago Cubs",62,731816
1957,"Cleveland Indians",76,722256
1957,"New York Giants",69,677883
1957,"Washington Senators",55,470437
1957,"Brooklyn Dodgers",84,127390
1956,"Milwaukee Braves",92,2092388
1956,"New York Yankees",97,1633381
1956,"Boston Red Sox",84,1137658
1956,"Cincinnati Redlegs",91,1103418
1956,"Brooklyn Dodgers",93,1088782
1956,"St. Louis Cardinals",76,1061652
1956,"Detroit Tigers",82,1038560
1956,"Chicago White Sox",85,1024783
1956,"Kansas City Athletics",52,1011285
1956,"Pittsburgh Pirates",66,960253
1956,"Philadelphia Phillies",71,934798
1956,"Baltimore Orioles",69,897473
1956,"Cleveland Indians",88,851948
1956,"Chicago Cubs",60,800063
1956,"New York Giants",67,635516
1956,"Washington Senators",59,446801
1956,"Brooklyn Dodgers",93,148371
1955,"Milwaukee Braves",85,1970212
1955,"New York Yankees",96,1497077
1955,"Kansas City Athletics",63,1388453
1955,"Boston Red Sox",84,1202885
1955,"Cleveland Indians",93,1200791
1955,"Detroit Tigers",79,1178828
1955,"Chicago White Sox",91,1155676
1955,"Brooklyn Dodgers",98,1021489
1955,"Philadelphia Phillies",77,936402
1955,"Chicago Cubs",72,869060
1955,"Baltimore Orioles",57,859200
1955,"St. Louis Cardinals",68,838079
1955,"New York Giants",80,825202
1955,"Cincinnati Redlegs",75,778429
1955,"Pittsburgh Pirates",60,519638
1955,"Washington Senators",53,422001
1954,"Milwaukee Braves",89,2263384
1954,"New York Yankees",103,1475051
1954,"Cleveland Indians",111,1337488
1954,"Chicago White Sox",94,1230629
1954,"New York Giants",97,1165071
1954,"Brooklyn Dodgers",92,1113352
1954,"Detroit Tigers",68,1080540
1954,"Baltimore Orioles",54,1060910
1954,"St. Louis Cardinals",72,1056943
1954,"Boston Red Sox",69,930393
1954,"Chicago Cubs",64,924782
1954,"Philadelphia Phillies",75,788575
1954,"Cincinnati Redlegs",74,722881
1954,"Pittsburgh Pirates",53,568352
1954,"Washington Senators",66,504714
1954,"Philadelphia Athletics",51,307652
1953,"Milwaukee Braves",92,1838643
1953,"New York Yankees",99,1496817
1953,"Brooklyn Dodgers",105,1357497
1953,"Chicago White Sox",89,1268325
1953,"Boston Red Sox",84,1109909
1953,"Cleveland Indians",92,1074297
1953,"Philadelphia Phillies",83,902443
1953,"St. Louis Cardinals",83,872727
1953,"Detroit Tigers",60,869359
1953,"New York Giants",70,849187
1953,"Chicago Cubs",65,766404
1953,"Washington Senators",76,641345
1953,"Pittsburgh Pirates",50,560212
1953,"Cincinnati Reds",68,532664
1953,"Philadelphia Athletics",59,403906
1953,"St. Louis Browns",54,321777
1952,"New York Yankees",95,1593499
1952,"Cleveland Indians",93,1480340
1952,"Chicago White Sox",81,1224539
1952,"Boston Red Sox",76,1149053
1952,"Brooklyn Dodgers",96,1047718
1952,"Chicago Cubs",77,1030567
1952,"Detroit Tigers",50,1026966
1952,"New York Giants",92,960027
1952,"St. Louis Cardinals",88,913422
1952,"Philadelphia Phillies",87,763344
1952,"Washington Senators",78,707222
1952,"Pittsburgh Pirates",42,686671
1952,"Philadelphia Athletics",79,631416
1952,"Cincinnati Reds",69,593930
1952,"St. Louis Browns",64,512132
1952,"Boston Braves",64,277516
1951,"New York Yankees",98,1930529
1951,"Cleveland Indians",93,1687878
1951,"Brooklyn Dodgers",97,1331080
1951,"Chicago White Sox",81,1328381
1951,"Boston Red Sox",87,1311663
1951,"New York Giants",98,1175511
1951,"Detroit Tigers",73,1117226
1951,"Pittsburgh Pirates",64,988441
1951,"St. Louis Cardinals",81,977318
1951,"Philadelphia Phillies",73,944204
1951,"Chicago Cubs",62,895034
1951,"Washington Senators",62,662134
1951,"Cincinnati Reds",68,586267
1951,"Boston Braves",76,485575
1951,"Philadelphia Athletics",70,462250
1951,"St. Louis Browns",52,309794
1950,"New York Yankees",98,2006902
1950,"Detroit Tigers",95,1958173
1950,"Cleveland Indians",92,1732464
1950,"Boston Red Sox",94,1344177
1950,"Philadelphia Phillies",91,1206813
1950,"Brooklyn Dodgers",89,1175019
1950,"Pittsburgh Pirates",57,1167464
1950,"Chicago Cubs",64,1138415
1950,"St. Louis Cardinals",78,1095361
1950,"New York Giants",86,1056046
1950,"Boston Braves",83,919747
1950,"Chicago White Sox",60,782129
1950,"Washington Senators",67,667704
1950,"Cincinnati Reds",66,542506
1950,"Philadelphia Athletics",52,323395
1950,"St. Louis Browns",58,299641
